destination_iata,city,country,attraction_name,category,description,tags,best_months,image_url,formatted_address,rating,user_rating_count,latitude,longitude,google_maps_uri,good_for_children
BAH,Bahrain,Bahrain,Bab Al Bahrain,shopping,"The historic gateway to the Manama Souq, perfect for buying traditional crafts and spices.","shopping,culture,history,local","November,December,January,February,March",https://places.googleapis.com/v1/places/ChIJm9s4CWCvST4RBKXkMkq9pGY/photos/AU_ZVEEmmMEnrzJOqm1mVShFGZVDtCCV04hsy-BttM0ogXQlz2gTJpZenWZFjyq74Mf8IQsupcLD6dZyWVsjxiFghKHPp2L3tWW1G-aKwM8Nb3t4lVeTNHTej2D60vlbBlaiYMTtRQJMLMiVSsRiHrvSTJeCOLX1NzOuXrFwyrJZ745Rh5aP9IY6itC8wGbRk5VSnYR-q2UVNYvzQA0lWrlOKqxgg2Y6bfX4Fntb_VEMZdOHlLxz_7WFTdtmipYo8dz0XvOZxuXr7xrZu-HJOSkyvEdDdGzWhQJFlTZEOcw6aWR3wYQecykBzdKZZFFu455UjPfUekcAtMZyYX3o0A6Z2iafvw5HDHapSW7gfJDSy5NpkJOydm23k1qr8tU5sqX1A_fmD6Zd9RihuzLY9aYCA6tpCcdgyrHI90OS-COzXKj7xv4zjrC47jzuau4oh1Pu/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"ROAD 475, 304 Bab Al Bahrain Ave, المنامة، Bahrain",4.4,20634,26.2339813,50.5756748,https://maps.google.com/?cid=7396244614428271876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
BOS,Boston,United States,Freedom Trail,culture,A 2.5-mile path through downtown Boston that passes 16 significant historic sites.,"culture,history,solo,city","May,June,September,October",https://places.googleapis.com/v1/places/ChIJyURjmpxw44kRetK6t-ZfsU8/photos/AU_ZVEEkXutdKpnbTP-joLKLDaOTd4vZwJMhs1fZM85fin9osEmeJpfd-YYSxM7goaYNaPvuO-aRCtYOaQnww6mwoweyc-5L9Gj7aCCJwvui9k_vhdplp9TFZTZC_eSo5Jdo5bGoHBtzhIqFVLypZImAbVezpS2qcROPY-k7ycmgpjPQP93mriXs5d95UsWP8muyMsZRV7bWOTLNP5jl9vjnXaYZFtXHJyT9QToKidcKk1AMXMyD5MpNgisjDdA3Pyuo1SWQ5VUKkbSloaHkKsi6slHZaLeBClFRSt3J0cJ9ShIMaSM4Odm1sjIag6q4ehCKrojQ8r8wE2zNTTHp5pjIJ4D4m55BFdL1c8Q-xLjA-P00kZ9dQk1Q_we5q2wNo8p3SDhBYITKz_d8U8C76wgzfFqs2rL4Iww2bz3JLthk6UO2UCXv/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Freedom Trl, Boston, MA, USA",,,42.3629711,-71.0561164,https://maps.google.com/?cid=5742476444403683962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BOS,Boston,United States,Fenway Park,sports,"One of the most iconic baseball stadiums in the US, home to the Red Sox.","sports,history,family,landmark","May,June,July,August,September",https://places.googleapis.com/v1/places/ChIJbz8lP_Z544kRBFV6ZMsNgKI/photos/AU_ZVEHUBl2Sspt7SLKfIy66B9cfZ5pFY9CPN8eUHWow3_GamasHrMptG5IJePegMebS5JUAUBWl-FEzN7w2zK-ZgixFLwz76iIe_ixcbPzWalhW6-zFjihbiJo76Z8TVpyfLp04fVU78mqHsYTdZjxy--wntLYW3MVeJduoVL9sROuLA3OysZv5ZxtIaAuUdiU3a52MaDliv-HqO7AQ-wFarzxIxeQZAhYhm1kYcsx4xN4Qe0QP70SuFGV1v2hXDyCVwAxf8eW0DR2CfXvw85XWcRHamKfghEdKUHYw35Ii_6pYuyUkrqqq6SQTSyKEl24eycKk32lvnMNsoS2KatF-pOSkE69HOAU0gEIJDGUwQGx7WsDY_9kKpXdtmAjR-0ZYzg1bPSS_SHspVvgn1lWs-gE9mLyElDj-L4TWYnNUx99GsobA/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"4 Jersey St, Boston, MA 02215, USA",4.8,44535,42.3466764,-71.0972178,https://maps.google.com/?cid=11709374198378550532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BOS,Boston,United States,Faneuil Hall,shopping,"A historic marketplace and meeting hall since 1743, now a bustling shopping hub.","shopping,food,history,city","May,June,September,October",https://places.googleapis.com/v1/places/ChIJpyiwa4Zw44kRBQSGWKv4wgA/photos/AU_ZVEE5LSrgrAV0IA63SGamnFcqrklneS8zTssaPq3xEj2HWLnIdenba_204GCuox_jlD_hb-c1dm_OZMHpl1Xfb5mUjN4Cxa5y_ag154MCgROB5wUyNzTzFpR2MeMfZKtCYazIX3weTbkWIr7No0JJQF5iL-Rj1HVkLzAEZkul_4W2dZH5xxFzIW5bKe-CVxC8h7bbwX_yh2WxSKsb12ZO7EOXMZR3IqXLtrkNF5TEpDEHaC8BwwdaWTqOsCSoR77AR6lKRGjgMDz8Hy58KUdPnICJJpsZ0VZLh42QN91Hf_AimE0Uvsyqq0u7lta0l48djljPd8Fy3FV9ZkoPaGMfFgX3AJvZO-ogy8i0u3DxeL3d_hEu0TN6nbqZypfiKB6aovQ_wgLAr-gHFXH6kybEqf2PqmHvh1jB56dDQL3JHnMWTNGX/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Boston, MA 02109, USA",4.5,48507,42.360189,-71.0551145,https://maps.google.com/?cid=54879560290141189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BOS,Boston,United States,Museum of Fine Arts,culture,"One of the most comprehensive art museums in the world with over 450,000 works.","culture,art,indoor,solo",Year-round,https://places.googleapis.com/v1/places/ChIJS3rn5w1644kRZNWVxNY_Ay8/photos/AU_ZVEELzlOp6E7GRWo4_cuIMgRGvCo5Kx0fG8yMLvGm896erd5_GPlpTMvIrxRoKGuTqH-uaeB0k6VNlCMKBLFGDFRIidmidd9oLiyEg_Wr43xul6ZEFrS4uYq0v8h_JZeIKetr_8PQ2la4UB7B1VxeOX3slERcqz7MS_ukBz6ZlgogRyv20Em2JgOo9QtxErb0HmjkhOB6QDTXeuPfH7V3FNfWLWpPpvKI79EnS5khsKQXx8HtsbzzVKwp8EelIUk0ZGONvE2ZaSw1yr7PEi3tj911QCFBLsYGbCkVpAAMx6lpPKjjGGjnQxk37QvlxJEmrKh3tKFwvIY0wE_oahVDSYUZ-sAIFr2XH4dcX2gf7E8SbXRbhv1XUPQZiXEQNtEguYa1JZhvihIQkcntdZs2PoYclVsTPVBAMo2Cf6OzFVFEpg/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"465 Huntington Ave, Boston, MA 02115, USA",4.8,19377,42.339380999999996,-71.094048,https://maps.google.com/?cid=3387621536366450020&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
BOS,Boston,United States,Public Garden,outdoor,"The first public botanical garden in America, famous for its Swan Boats.","nature,outdoor,family,romantic","April,May,June,September,October",https://places.googleapis.com/v1/places/ChIJu2Argp5w44kRAecWXgt_18s/photos/AU_ZVEG171OUrDSGbmZzpfNasbFkJnSVneZSq1mOx4pu1GUj98Y11p-O_3tCcof7a5oxqFF926rqXDBAfgRaUx0w5gGIPAQIbMDA8-91AvsCMHGA2Ywc0NBpgxKtcS0Dd4Yd61od0jSsLYXT_0CE_5TBV8UhxtJStIbcb1PvI-EzFqcoN33o4KUwVd3sZeP-TJD018T4xb1tA9jaWzbQg_6reJnhT3z7LgNBiXTR2NK_-MpaXS6Ropi2P50MW5IqD4aG-OPjDpFBvaml3FsJetdep7Ml5OYRNwHxBK-FeWz9F_Yij41Lky4osCNP97OAjnX00kM5kic_H8qc15WI3tS3X9yRPMAt0Br_TiYaSk1IEhD_-YODUP-wMZTAq2jBBoDi0AUHMpD3J1wBS2DMbDhBlVJJgxgC79LRIwzU7DFd8DaEA4E3/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Boston, MA 02116, USA",4.8,18438,42.3540639,-71.0700921,https://maps.google.com/?cid=14688348396492089089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
BRU,Brussels,Belgium,Grand Place,culture,"Often called Europe's most beautiful square, surrounded by ornate guildhalls.","culture,history,landmark,city","May,June,September",https://places.googleapis.com/v1/places/ChIJ8fEURn_Ew0cRts_ij101PLA/photos/AU_ZVEGBQ6PuGEpUER9skLcA_qFWJEe7eJYz08CP5iDTaKqHhS8UEWUmv--XqPrKAnxOcLWE-WSLmARskU3Q0c4AMO-G-bjGsgDGkfzHeglPSJnKXwu3x6pH4yJqeyr9xmbPKOch4-faUn7Vv9UAYj8S-FrqPzC8UHZaWdYNjYXFTNBILMYnXcgM4PNxJ20Rvapjl-sdiMuZ0vYqW5wIykZyWhHpkB0xOE11yQQ8-FoAFET5zfayjk8j0Zv2F77u41RaCD9QXJLGrxAKK9Zm_AoKUxSPL3dmddL6ccxn363CcMzwJGfTeBeUQNoo1SHBzNJayg5SROy19kVCDqndYWAlWjbFu_EQn27AEnw1wSgs7htMM-D0UzHVo0cOhxWMUy1eS9rGljv_J-aKuTVobxCK83W_wqqPFsZuaUml3LKWWqwrvricY4cFu2dBtzbqo7Kb/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Grote Markt, 1000 Brussel, Belgium",4.7,172795,50.8467887,4.3524356,https://maps.google.com/?cid=12699083725240192950&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
BRU,Brussels,Belgium,Atomium,landmark,"A futuristic landmark originally built for Expo 58, offering 360° city views.","landmark,family,architecture,photography","May,June,September",https://places.googleapis.com/v1/places/ChIJAQAAAKzDw0cRCTemaB0Hk1I/photos/AU_ZVEE2Mba6X6PhDvYYTo9G0pd7d3Zq0dfwK5eIea9ONPGuxxB-nC-pCWB8KIai0xaYKr51At9q9mkXva5mQuFH81ukHHf9-2aKExlNq12_SfU3jBbGq55uT4-4linE_cBH1ZcqVf4hrHBLPQfysT4kKKQywlH2_IY1WG4jH--0Br5YEzxFiF1ZRvdYdI8qj71VWJxUG_Orxaos7XXAmuKs0jCw0puPkVp7GPCwZiCPZ3tXdroGE_n1h08789vDst6RPDHGEQTwxpwLK7a8-J-5qNNpkmBlUvfhx1hsj7INFKyBnjOomosFHHa_aQC6dEjHrGMF_mBj7mfs355mv5cTshGsCVrfjcs_dz3IKmbtszKDS_6Mxls-we8zCk-NWsY_QhjKr1nP5R5BqjMiFopx4uB3NBsBTgOZpIyI5zBvxYCagw/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Pl. de l'Atomium 1, 1020 Bruxelles, Belgium",4.4,108973,50.8948787,4.3415547,https://maps.google.com/?cid=5950107355577726729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
BRU,Brussels,Belgium,Manneken Pis,culture,"The famous bronze fountain sculpture of a small boy, a symbol of Brussels' humor.","culture,history,landmark,city","May,June,September",https://places.googleapis.com/v1/places/ChIJ0T1eGXnEw0cRH8GwIKZAuBc/photos/AU_ZVEFKojXQyMY8CErzgZ7usuFcVOH4fQnDFNH3cSmsJTDPJvpDgvQtq25NclWBwXTbykifNkCvrFkQpvbTudj8fkrjJ9QupVX1ZecjkTkmdDU8uzLeV3kY_1QfrIGq0XVoe5Slpv0wJQFxKvLvKzS2O5KyrWOvtZWBedVL7vF4nPakXyfq4qPlDBOCHM9Dt3CID2gC_2pD3_j4tikQWEwacdCwjr2BQ0TLowfMA8MhD2LZ7LtH7cNmtDQ1V_B_uRr2aa1Ncn1R87F0X3qvA3pkPnJ4Me8E7xEAzP5DQptc3iRByqKjz4IuPfjNsRje65w0OUf0dDdSnEHGvImWA_YfKf64VHaZstF4L9Hv12RJKJsbF0mhTX9cchuC4u5zybfniFbs9g9IEeERiUzLDQLqCjzNJzxIat1Sr8CeZyINcgn7EHPo2DJlQwkZgTQ_bg/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"1000 Brussels, Belgium",4,81884,50.844992999999995,4.349989,https://maps.google.com/?cid=1709187140844306719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BRU,Brussels,Belgium,Royal Galleries,shopping,Elegant 19th-century glass-roofed shopping arcades filled with luxury boutiques.,"shopping,luxury,architecture,food",Year-round,https://places.googleapis.com/v1/places/ChIJu1XHbn_Ew0cRMNenwioHHhM/photos/AU_ZVEHPfdAMcbuZkfRExj-lukaoVJBJ6GnMBRjYGm5hc9dROgdHoGO2RGEkySATLH06m9KxdpxGB5YOjH_O3v1VH-_SS1KRMGjdgappRZ6A-g3G32lbVoRSp_aQaRMggMUwO3RDjpOp4n9Q5YoeixgpfEUlaAjqsO_8hcQ58JmU3AUoS4uc7P_A46MKHC4Pbv6ztLY4wz4QhguwtTQ0E-EXudaZBCkFKGyORe6yisNflEP6BVhzkIxaAF5tDemQhnrp-cztENi8WE9vCDGac-c5XCIscDu8_5CPY5jmOVWgtA9q9J8bo_XSvSU7IOo8XwLyKIaMH7XCLb0_QUiJoURMJqw58ZuPoU84ymEiYA-O6AMAjpFmg9itEv-gL9GqD2XMsxsnSkM6nSu_HYQ0ZZl-6TwtTDE1Lpj96-IwyQ531-CLKQ/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Galerie du Roi 5, 1000 Brussel, Belgium",4.5,44676,50.8480832,4.355250600000001,https://maps.google.com/?cid=1377546416257750832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BRU,Brussels,Belgium,Mini-Europe,family,A park featuring 350 miniature models of Europe's most famous monuments.,"family,outdoor,education","April,May,June,September",https://places.googleapis.com/v1/places/ChIJcXOguDXCw0cR-eXzCz20DFc/photos/AU_ZVEGkkRXvhiCU-QGymZzuINrOt9N9EsSVvyphLzuFFv6yiC_dEWJwCTC_VgycpTnarcfck6z5NHaGm0uSADmAkS6IKPaoCdDXmAruEYoU0v34V-d5yOTiBYqXiIXWDbuHQdXbogoickMcvV16IfgndJkVLKi370-CRuv2Kcgk4fMmX4HLZMGAfNxhGi9V98wbGkkMnGfDkp-rtlntFFteiB0WPNoRn9_gaKYDIGpGNeVeHFOWzWOXw6TUAmsuic7vdBt2Eb6npyow_LTvsS4EogvA7Ohq-9GKyoJ1xXDrgPJL3g/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Av. du Football 1, 1020 Bruxelles, Belgium",4.3,11859,50.8940497,4.3389622,https://maps.google.com/?cid=6272586555306796537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
CCU,Kolkata,India,Victoria Memorial,culture,"A massive white marble building dedicated to Queen Victoria, now a museum.","culture,history,architecture,landmark","October,November,December,January,February",https://places.googleapis.com/v1/places/ChIJXQGuRhN3AjoRY5fjvORAtQA/photos/AU_ZVEFeBK4tWKhm42Iw7n0BBJB6QwwqouE25hEjzrflDiyQdAYUS0eY5R0PgZxQE5DahMhiKx7O6M6VT42xHWbst_DrfSfUnks4yxnrd0cqkb9n0dzo5n7Pi6GbdwNyRSCHRdqTTH1szxnyXWOHqhl7f-Qav4uyaHvXKtvxNF6vP7nEZQNkYOh3Ft0FyRD0-IY4_6vvZI_kUqt7BhCh4eRBNtYJP4V99D0FAdAKjzs6jvmhVGTOFEEAGbH00nlwvG0ZdN8SJzmK3vkxzZdBHgs9kv-T0dG0UE41SFCIpj8t2pqw8Dyd-C7DAxplaO17lxIGpMx-TkL1CwueGeDX214QDteWMHPkbCbykDfw33qIcg1Q_dkGUyXUN8q8cMCZoDAqrofMstOaX-OvQHwUNsrrmksCkwd_r7wwdfwPcOGBWxRL8Ipb/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Victoria Memorial Hall, 1, Queens Way, Maidan, Kolkata, West Bengal 700071, India",4.6,88613,22.5448082,88.3425578,https://maps.google.com/?cid=51018321950381923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
CCU,Kolkata,India,Dakshineswar Temple,religion,A historic Hindu temple on the banks of the Hooghly River dedicated to Bhavatarini.,"culture,religion,history,river","October,November,December,January,February",https://places.googleapis.com/v1/places/ChIJKXjZ3QOd-DkRTF0w7e-Ao_8/photos/AU_ZVEHZ3VKVBFMbXK34kCgSAGOeCRpv1Jo9fDSxyMoqV5Nsflooo-Alk0eKlqdEB9Hh1rStk9dnCV-MTDDgfcER-QPqCCoCbG7rgRyU4t--t86-_Vi1gcxnOoqw8DaANkHtEzuQS-v213FToXLNv7WS_ZbZLbE2bNUTx3vIDC6wyjcDJ_JAERiH4nJ5mTgK1JBiWohFOVlFqbahCcM9t_Mq0BMnn8-WiwAL53xXLVQWqcKcc2wF0gsjr18gUipWKHlajrrSW4zaSv2dKFSNCIYmV44MibfJCKg84dx_AiZqbhjRfe0_Z8I0ZU0UGjNhusJbA63nAgJhYA7YXgTtfiFSnj_Se4_cjYPxwvIPuuzVdnLNJ6E9lrRGFAVFdMKC_dNA1VShyU7YFqZvjS9PkrqS8CZTYHHqHPiWZzLpUxApm7M/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Dakshineswar, Kolkata, West Bengal 700035, India",4.7,101046,22.654884,88.3576911,https://maps.google.com/?cid=18420708668840369484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
CCU,Kolkata,India,Park Street,food,"Kolkata’s iconic dining and nightlife hub, famous for its legacy restaurants.","food,nightlife,city,culture","October,November,December,January,February",https://places.googleapis.com/v1/places/ChIJrXycR-d2AjoRkj9lPDKZ4yw/photos/AU_ZVEGlR5AZ3vTiM0kQxXCnPmRLffSxXJs9rDN1MvBB0HTPPOeuOER_xvxhAbt_6gxJs3j28jGyDCo2ur-cZavBfvQEuM5qcJHa0-2tlCyBj7m1xNAHXD_WVznraQcfB3nAqOzB4uF_Ft35KQWTfDp0OFPmn99swxBF1a6Ozi82RATA31n2qyzaQ150ZWF7a_sYElaE2IPHQDa6MDt7kJByRRB-_TKkz-1fTRx0Wq972LHU5E8-g8-LKd7HNs81OCof772wTNxXn_dg0R__Nl9CwiuuO5CewxE_gTIlTPH-_FTRT_VDfpqr3ElJm3r4-YZeTLPnA0qlwFeDX7z4DYkMVxJAaGUMumudRYg6kOmnOXKuhJOpvGzN8VAxmZW-zNHrC2Lopj7c27KxfUTc9eIb1TtIRGZGJX3Q_674swG4MXapzN1n/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Park St, Kolkata, West Bengal, India",4.5,4607,22.5541098,88.351357,https://maps.google.com/?cid=3234597398422830994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
CCU,Kolkata,India,Eco Park,nature,A massive urban park with themed gardens and replicas of the Seven Wonders.,"nature,outdoor,family,leisure","October,November,December,January,February",https://places.googleapis.com/v1/places/ChIJb1sq4kR1AjoRZefrzpDLKvI/photos/AU_ZVEE-KocJ7xuwHOvSZ_O2q1uNgBAIlE0Pq924L8TQpv3Js78mywIMaBmATm3_H60VTCcHe6cs6AmO5z3_1SY4ws64mfIxRBjQkLJm-mAODoAD3VA4KuTBfwGjYr0N9it3h5tshH3FJGdhAScV9bsnm4DFiSzaDYgRhZmLvBBqN4yAlqOzz6IzZ-dR2a1tVz-M4OqHCuUPtlLvlXrob2AO1LO-ht26wKWS2EPj2H1eAChBNIoQCMkBfs5XAt5RWXfgzvgbn_oKQE9NWA4Gabk3JDe4Wq3ubvVJ8P1VdK_F3MqSKVlNcxEuMPBcifnnjEdJ3gVWHkMBDd0FZE0Vgd7vbHQ36GuknpXLEqvKOV7l1UZ3qGU8bf90ljNhCg0d6bwqOcLBvpA1sYWTWtU7zvNCdIElWrhGQtabZNKRHgOMXvXhUQ/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Major Arterial Road(South-East, Biswa Bangla Sarani, AA II, Deshbandhu Nagar, Newtown, Kolkata, New Town, West Bengal 700161, India",4.5,181624,22.600407699999998,88.4706037,https://maps.google.com/?cid=17449983529007703909&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
CCU,Kolkata,India,Howrah Bridge,landmark,A massive steel cantilever bridge and an architectural icon of the city.,"landmark,architecture,photography,history","October,November,December,January,February",https://places.googleapis.com/v1/places/ChIJG-seu793AjoRmRFBjKoKhMk/photos/AU_ZVEG_6_PaDmNODlpBdBgo7eZPk-hYUiA8oOpx1Ivd7e14ds59u_JDGVhezdj9V1z9otVMq4_LpXelRdeij-fEO8X58-88nWS1BjiIg3UUTOe6JiRAVcmYH7Y6SWcAe0wp_wfhe2M8vJZfCYLVPAEE2TDzOgwANeu3wGUKOvYLzdBnTrPqfY5ZRy5dNUNDlglD39qZwKgXs5MrZOesE0g48wnOW1EPR8y_ER5F4wwsn_oqMWHxZOzbk1uNeUQatH0dyI74dMs9IC34csM2nxBuUFmpmGiE_Ln0pGwpcsHNbMIj3ZMThAV-iVHnX23qrrZI6gLCTDl-ENEv9Rcty71QvwROoSpvdG56Q4cX3RoRC-SFbznnaI-rCzVaoiLeeLJf4vZyl9D68F7Wy45M4Qu6mB39l_P4d9zGh9pW7GuXebk/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Kolkata, West Bengal 711101, India",4.6,134898,22.585127,88.3467759,https://maps.google.com/?cid=14520742826163114393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BOM,Mumbai,India,Gateway of India,culture,An iconic 20th-century arch monument overlooking the Arabian Sea.,"culture,history,landmark,architecture","November,December,January,February",https://places.googleapis.com/v1/places/ChIJrVwNOsfR5zsRPHOcIKclCsc/photos/AU_ZVEHcfgw-9JtD6Aq2oOt1KZI0LCsYj0M1c-FcqzfDt3GqNp-m3-deGB5JNQkJ--zibPa0zFFFMZsBBn_RS9ZLhRVbwJR-IUGuZeMRP8S0a3337VDVlT8EKqLrLFrfqPTqCAswGm4kZA-q8WQmJw7mSCyt6TwgARhNsnu_gspAr_G3szrWyuifFXreFVU-G0CvJ4rVg1am26SdPJEYybdOFjWeAynx8ucuw3NE2ITh-g7vRkckinWW51lF0JJFfYpgIs98azZ4saNRSRxDoTqg0KtIW40_DX5klkEAxy60Q9LQj8J8raTuq5K043yhqFzl2LrfD9qvnkA0YBUcT-Kj0URbp3iBS04I7bZXtu-dJGNeDG2tqJsk7JzPpUR7CCBun8XTx4duxG4P3GEoeUTyMFQG6jdWaMdBjtut_G3Pw28/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Apollo Bandar, Colaba, Mumbai, Maharashtra, India",4.6,380672,18.9219841,72.8346543,https://maps.google.com/?cid=14342317363051655996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,True
BOM,Mumbai,India,Marine Drive,outdoor,"A 3.6-kilometre-long boulevard along the coast, known as the Queen's Necklace.","outdoor,city,relaxing,sunset","November,December,January,February",https://places.googleapis.com/v1/places/EiVNYXJpbmUgRHIsIE11bWJhaSwgTWFoYXJhc2h0cmEsIEluZGlhIi4qLAoUChIJnUPoXuLR5zsRK60mJ0-SzVoSFAoSCcHtRGYwxuc7EWmMZI2P7aRd/photos/AU_ZVEHuvK8UKbDGGa55Et9cW3VBSJFFUUWr9bprDNyMpJCmm9iEv-nc9VSBCILl67wPt08L0-FwuK2Sl5dn5Zga8Brm_akJp_VHB1vRULUPLM8B8FjMCAL-Zj2GlxFt1sfhJd40AeN__DdRUhfhfCHN34HUEgeDl4aACLFZKYcnNM1euy4mcaXX6wGkHhpraeDn7tkFvBR8woOZ0BXhHffGtBiyI9v0G6NWBPHqgUynLdzd4LboC2lTp_WyC4j2OER6YCNGD_XXvNheKJRM5_IDJTXs9KM90fTahG7ZxiRL6sJw69KLwzLz60y1ykXQiPhAV7LtLy_9aO0OZZj2X2U6Js8cE3ikmA_r6GNsRVkVeRlWyKn2053F4poN9wXD80HWeaFoS_wegb_CJi7DOSZ7LwbvDBIw98rpdMMMOFT1wix5MWs_i9CtysYBPp3pod3rxN46VsWpLItBdsbYrfP7KA0Ygq-So5-gvMM397DBVKtBd-vteTTBi-BNSBFGU6rnRpLNxu6tb_Es6Jwxe9rByJtC_XiGGAbhpiZVV-B0ymjjvYogv-NUmtg/media?maxHeightPx=400&maxWidthPx=400&key=AIzaSyBGqPSoZtuSxawtrVO9GCXZ-Yq-lk2r-Yk,"Marine Dr, Mumbai, Maharashtra, India",,,18.9441616,72.8225819,"https://maps.google.com/?q=Marine+Dr,+Mumbai,+Maharashtra,+India&ftid=0x3be7d1e25ee8439d:0x5acd924f2726ad2b&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA",
